sub_id,source,platform,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms,stop_acc_in_band
s161,human,human,600,420,180,0.930952380952381,0.004761904761904762,600.7161125319693,605.6124401913876,607.0,0.4777777777777778,550.0,341.1111111111111,200.0,400.0,259.60500142085823,-0.011495065785914645,37.26749660006283,True
s162,human,human,600,420,180,0.9833333333333333,0.002380952380952381,587.409200968523,587.4606205250597,576.0,0.48333333333333334,550.0,365.55555555555554,150.0,500.0,221.85364541296747,0.05388121071255036,-34.3928058136475,True
s163,human,human,600,420,180,0.9142857142857143,0.009523809523809525,623.6588541666666,621.5817307692307,453.0,0.45555555555555555,600.0,372.77777777777777,150.0,500.0,250.88107638888886,-0.016293353234686614,50.165620238753036,True
s165,human,human,600,420,180,0.9928571428571429,0.0,599.3764988009592,599.6285714285714,684.0,0.4888888888888889,500.0,336.1111111111111,200.0,400.0,263.2653876898481,-0.033581373938385554,0.8610693400166838,True
s166,human,human,600,420,180,0.9,0.0,519.2407407407408,522.65,551.75,0.6833333333333333,350.0,68.61111111111111,0.0,200.0,450.6296296296297,0.02382734040578234,-33.45923232323236,True
s167,human,human,600,420,180,0.9880952380952381,0.0,627.5253012048192,628.7523809523809,501.0,0.4777777777777778,550.0,348.3333333333333,150.0,400.0,279.19196787148593,-0.019619991245613335,6.2032525252525375,True
s168,human,human,600,420,180,0.9714285714285714,0.0,467.5147058823529,467.21190476190475,428.0,0.49444444444444446,350.0,217.77777777777777,50.0,200.0,249.73692810457516,0.013306329651582087,-8.567187438355631,True
s169,human,human,600,420,180,0.919047619047619,0.0,569.2720207253886,573.2571428571429,573.7777777777778,0.45,450.0,308.3333333333333,150.0,300.0,260.93868739205533,-0.028828447260070136,38.38011875181513,True
s170,human,human,600,420,180,0.8666666666666667,0.0761904761904762,605.9395604395604,607.7242268041238,926.8,0.5388888888888889,450.0,187.22222222222223,0.0,150.0,418.7173382173382,0.07895039941358725,-60.460601552694015,True
s171,human,human,600,420,180,0.8952380952380953,0.05476190476190476,491.2579787234043,492.11586901763224,372.6666666666667,0.4888888888888889,850.0,243.88888888888889,50.0,200.0,247.3690898345154,-0.08857853633608721,33.81219401818407,True
s172,human,human,600,420,180,0.969047619047619,0.002380952380952381,446.56756756756755,446.17183770883054,387.3333333333333,0.5,350.0,210.55555555555554,50.0,100.0,236.012012012012,0.03954785931669579,-23.40754604872251,True
s173,human,human,600,420,180,0.9238095238095239,0.0,538.2113402061856,536.5785714285714,481.25,0.4777777777777778,400.0,272.22222222222223,150.0,300.0,265.98911798396335,-0.028200862312254174,24.411205073995745,True
s174,human,human,600,420,180,0.95,0.009523809523809525,706.6491228070175,706.1778846153846,754.0,0.48333333333333334,700.0,348.05555555555554,0.0,250.0,358.593567251462,-0.03879931677694041,7.432827237175161,True
s175,human,human,600,420,180,0.9761904761904762,0.002380952380952381,517.9024390243902,516.3174224343676,446.6666666666667,0.4888888888888889,400.0,252.77777777777777,100.0,200.0,265.12466124661245,-0.010737345830966043,16.094259022676454,True
